lemma_name,lexical_abbreviation,definition_text
"alat pendobrak",noun,"benda atau perkakas yang digunakan untuk merusakkan atau membuka secara paksa dinding (pagar, pintu, dsb) supaya dapat dilalui"
"alat pendobrak",noun,"pasukan (gerakan, angkatan muda) yang berperan sebagai penembus pertahanan musuh, tradisi lama, dsb"
"alat penerangan",noun,"yang dipakai untuk menerangi (seperti lampu, listrik)"
"alat penerangan",noun,"yang dipakai untuk memberi petunjuk atau penjelasan (seperti film, radio, televisi)"
"alat pengecambah",noun,"alat untuk mengecambahkan benih atau biji"
"alat pengeras suara",noun,"bagian dari pesawat radio dsb yang mengubah gelombang listrik menjadi gelombang suara yang nyaring"
"alat pengering berlanjut",noun,"mesin pengering, bahan yang akan dikeringkannya dialirkan dengan kecepatan tetap secara terus-menerus melalui udara yang dipanaskan"
"alat penghidu",noun,"organ tubuh untuk mencium bau-bauan; hidung"
"alat pengisap",noun,"mesin untuk mengisap (air, debu, kotoran, udara, dsb)"
"alat pengisap",noun,"organ tubuh atau tumbuhan yang berfungsi mengisap zat makanan, oksigen, nitrogen, mineral, dsb"
"alat pengisap oral",noun,"organ untuk mengisap di sekitar mulut pada cacing hati"
"alat penglihatan",noun,"organ tubuh untuk melihat; mata"
"alat pengontrol",noun,"perkakas untuk mengamat-amati atau mengawasi sesuatu"
"alat pengontrol",noun,"perkakas untuk mengatur; transformator"
"alat pengumpul kerang",noun,"segala macam alat untuk mengumpulkan kerang secara manual"
"alat pengumpul rumput laut",noun,"alat untuk mengumpulkan rumput laut secara manual"
"alat penyedot",noun,"alat untuk mengisap"
"alat penyeduh kopi",noun,"alat untuk mencampur kopi, gula, dan air panas sehingga dapat langsung diminum"
"alat penyekat",noun,"alat untuk membatasi atau memisahkan sesuatu dari yang lain (seperti dinding, papan, atau tirai untuk membatasi ruangan, pita untuk membatasi arus listrik)"
"alat penyosoh",noun,"mesin pembersih beras pecah kulit menjadi beras sosoh atau beras putih"
"alat peraga",noun,"alat bantu untuk mendidik atau mengajar supaya apa yang diajarkan mudah dimengerti anak didik"
"alat perang",noun,"alat untuk berperang"
"alat perasa",noun,"bagian tubuh untuk merasa; jaringan saraf perasa"
"alat perekam",noun,"instrumen untuk merekam suara pada piringan hitam atau pita magnetik"
"alat perekam",noun,"instrumen untuk merekam gambar pada film atau televisi"
"alat pernapasan",noun,"organ tubuh untuk mengisap udara; paru-paru (pada manusia); insang (pada ikan); daun (pada tumbuh-tumbuhan)"
"alat perontok gabah",noun,"alat untuk memisahkan butir-butir gabah dari malainya, digerakkan tenaga manusia atau mesin"
"alat perum",noun,"alat untuk mengukur kedalaman perairan atau laut"
"alat potret",noun,"perkakas untuk memotret; kamera; tustel"
"alat putar cepat",noun,"alat pada perekam pita yang berfungsi mengembalikan dengan cepat pita pada posisinya semula atau pada posisi lain"
"alat raja",noun,"perlengkapan raja (seperti ketur, kendi, kipas)"
"alat rajah",noun,"alat untuk memberi tanda nomor (identifikasi)"
"alat reproduksi",noun,"alat untuk berkembang biak"
"alat senjata",noun,"berbagai-bagai senjata untuk berperang"
"alat suntik",noun,"perkakas untuk menyuntik (semacam pompa kecil berujungkan jarum suntik untuk memasukkan obat ke dalam tubuh pasien)"
"alat tani",noun,"perkakas yang biasa digunakan dalam usaha tani, seperti cangkul, arit, parang"
"alat tenun",noun,"perkakas untuk menenun benang menjadi kain"
"alat tetas",noun,"alat yang berfungsi untuk menetaskan telur dilengkapi dengan pengatur suhu"
"alat ucap",noun,"organ tubuh manusia yang berfungsi dalam pengujaran bunyi bahasa, seperti paru-paru, laring, faring, rongga hidung, rongga mulut, bibir, gigi, lidah, alveolum, palatum, velum"
"alat uji",noun,"alat untuk menguji (mengukur) kualitas"
"alat ukur",noun,"perkakas untuk mengukur (mencocokkan atau mengetahui jarak, bobot, luas, panas, getaran, kecepatan, tegangan, tekanan, volume, dsb)"
"alat ukur hujan",noun,"alat untuk mengukur banyaknya hujan yang jatuh di suatu tempat pada waktu tertentu"
"alat ukur hujan otomatis",noun,"alat ukur hujan yang mencatat secara otomatis banyaknya hujan yang akumulatif terhadap waktu, biasanya dalam bentuk grafik"
"alat vital",noun,"bagian mesin (pesawat, pabrik, dsb yang sangat penting fungsinya)"
"alat vital",noun,"alat kelamin"
"alih bahasa",verb,"proses pemindahan informasi dari satu bahasa atau variasi bahasa (disebut bahasa sumber) ke bahasa atau variasi bahasa lain (disebut bahasa sasaran)"
"alih bentuk",verb,"perubahan bentuk atau struktur; konversi dari satu bentuk ke bentuk lain; transformasi"
"alih generasi",verb,"pergantian dari generasi tua ke generasi yang lebih muda; regenerasi"
"alih huruf",verb,"penggantian huruf demi huruf dari abjad yang satu ke abjad yang lain (terlepas dari lafal bunyi kata yang sebenarnya); alih aksara"
"alih kebudayaan",verb,"pengambilan unsur kompleks kebudayaan asing ke dalam suatu kebudayaan sampai dianggap oleh pendukung kebudayaan itu sebagai unsur kebudayaannya sendiri"
"alih kecek",verb,"tukar percakapan (mempercakapkan perkara lain)"
"alih kedudukan",verb,"pertukaran tempat dua atom dalam suatu molekul"
"alih kode",verb,"penggunaan bahasa lain atau variasi bahasa lain untuk menyesuaikan diri dengan peran atau situasi lain atau karena adanya partisipan lain"
"alih profesi",verb,"pengalihan atau pengubahan pekerjaan"
"alih ragam",noun,transformasi
"alih tanam",verb,"cara membiakkan pohon (tanaman) dengan menempelkan tunas tanaman ke pohon (tanaman) yang lain"
"alih teknologi",verb,"pengalihan pengetahuan dan keterampilan teknologi, terutama pemindahan materialnya, dari suku cadang yang terkecil sampai ke pabrik yang paling lengkap"
"alih wilayah",verb,"perpindahan wilayah (kerja)"
"aliran alam",noun,"aliran udara sebagai akibat perbedaan panas antara dua titik pada tambang bawah tanah"
"aliran bawah",noun,"aliran air tanah di bawah dan sepanjang sungai permukaan (terutama di lembah aluvium)"
"aliran bergolak",noun,"aliran yang kecepatan zat alirnya, di titik-titik yang tetap letaknya, bergejolak dengan waktu secara hampir rambang atau acak; turbulen"
"aliran berlapis",noun,"aliran yang terdiri atas lapisan (lamina) yang secara lunak me-luncur terhadap satu sama lain; laminar"
"aliran getah",noun,"aliran cair-an dari pohon buah-buahan atau pohon hutan yang berpenyakit akibat serangan jamur yang menghasilkan fermentasi unsur kulit sampai ke dalam kambium pohon"
"aliran hilir",noun,"sungai di sebelah bawah"
"aliran hulu",noun,"sungai di sebelah atas"
"aliran kemarau",noun,"aliran air sebuah sungai pada musim kemarau"
"aliran kepercayaan",noun,"paham yang mengakui adanya Tuhan Yang Maha Esa, tetapi tidak termasuk atau tidak berdasarkan ajaran salah satu dari kelima agama yang resmi (Islam, Katolik, Kristen Protestan, Hindu, dan Buddha)"
"aliran permukaan",noun,"aliran air hujan di atas tanah sebelum masuk selokan"
"aliran sisa",noun,"banyaknya air yang mengalir ke dalam suatu lembah atau daerah tertentu, dikurangi jumlah yang mengalir dari lembah atau daerah tertentu itu"
"aliran tahunan",noun,"aliran air sepanjang tahun"
"aliran timbul kembali",noun,"air yang telah disadap dari sebuah genangan atau sungai untuk keperluan irigasi yang meresap sampai ke permukaan air tanah dan akhirnya mencapai permukaan sungai atau genangan air lainnya"
"almanak dinding",noun,"penanggalan yang biasanya digantungkan atau ditempelkan di dinding"
"almanak meja",noun,"penanggalan yang biasanya ditaruh di atas meja"
"almanak pelayaran",noun,"almanak untuk pelayaran yang berisi catatan tentang kejadian astronomi, seperti posisi matahari, bulan, planet, dan bintang setiap saat, siang dan malam sepanjang tahun"
"alokasi biaya",noun,"pembagian biaya barang, jasa; pembagian jumlah segolongan biaya kepada sejumlah rekening dengan tujuan mengidentifikasi biaya dengan produk yang dihasilkan oleh barang atau jasa itu"
"alokasi dana pemerintah",noun,"pembagian biaya pembangunan yang dilakukan pemerintah berdasarkan prinsip ""prioritas"" bagi bidang pembangunan yang telah ditetapkan pemerintah dalam jangka waktu tertentu"
"alur air",noun,"selokan kecil"
"alur balik",noun,"perubahan keadaan yang berlawanan dengan keadaan yang diharapkan"
"alur bawahan",noun,"alur kedua atau tambahan yang disisipkan di sela-sela bagian alur utama sebagai variasi"
"alur bibir",noun,"lekuk di atas bibir di bawah hidung"
"alur cahaya",noun,"bagan yang berkenaan dengan peralatan tata cahaya, isyarat, dan segala sesuatu yang berhubungan dengan penataan cahaya dalam pementasan lakon"
"alur cerita",noun,"jalinan peristiwa dalam cerita untuk memperoleh efek tertentu"
"alur erat",noun,"jalinan peristiwa yang sangat padu di dalam karya sastra, kalau salah satu peristiwa ditiadakan, keutuhan cerita akan terganggu"
"alur hidung",noun,"alur bibir"
"alur kapal",noun,"riak air di belakang kapal yang sedang melaju"
"alur kerongkongan",noun,"lekuk memanjang untuk menyalurkan makanan dari kerongkongan langsung menuju retinakulum pada dinding sebelah kanan"
"alur ketat",noun,"alur erat"
"alur leher",noun,"lekuk pada sefalotoraks yang membatasi kepala dan dada, seperti pada udang"
"alur longgar",noun,"jalinan peristiwa yang tidak padu dalam karya sastra"
"alur menanjak",noun,"jalinan peristiwa dalam karya sastra yang makin lama makin menanjak, tanpa ada peleraian, sampai cerita itu selesai di puncak"
"alur sungai",noun,"dasar sungai yang lekuknya dalam dan memanjang"
"alur tengkuk",noun,"lekuk di tengkuk"
"aluran adat",noun,"jalan adat yang betul"
"aluran air",noun,"alur air"
"amar dan nahi",noun,"perintah dan larangan (Tuhan)"
"amar makruf nahi mungkar",noun,"perintah untuk mengerjakan perbuatan yang baik dan larangan mengerjakan perbuatan yang keji (biasa digunakan untuk hal-hal yang sifatnya menyatakan perintah dan larangan)"
"amar raja",noun,"perintah raja"
"ambang batas",noun,"tingkatan batas yang masih dapat diterima atau ditoleransi"
"ambang pintu",noun,"bendul pintu"
"ambang trofik",verb,"kedudukan organisme yang membentuk jala makanan (seperti omnivor, karnivor)"
"ambil langkah seribu",verb,"lari pontang-panting"
"ambil marah",verb,"jangan berkecil hati"
"ambilan doli",noun,"pengambilan adegan dengan kamera yang ditempatkan di landasan beroda agar dapat bergerak"
"ambilan sudut",noun,"ambilan gambar bukan dari depan, tetapi dari sudut samping kiri atau kanan"
"amil zakat",noun,"orang yang bertugas mengumpulkan dan membagikan zakat"
"anak Adam",noun,"keturunan Adam; manusia"
"anak Agung",noun,"gelar bangsawan (golongan atau kasta ksatria)"
"anak air",noun,"selokan; sungai kecil"
"anak ajaib",noun,"anak kecil yang sudah mampu menguasai kepandaian yang dimiliki oleh orang dewasa"
"anak alang",noun,"anak yang ketiga"
"anak Allah",noun,"gelar untuk Yesus Kristus yang menyatakan bahwa Ia berasal dari Allah dan melakukan penyelamatan manusia"
"anak ampang",noun,"anak haram jadah"
"anak andaman",noun,"anak gadis yang dikurung atau dipingit beberapa waktu sebelum dinikahkan"
"anak angin",noun,"angin sepoi-sepoi; angin lembut"
"anak angkat",noun,"anak orang lain yang diambil (dipelihara) serta disahkan secara hukum sebagai anak sendiri"
"anak asuh",noun,"anak yang diberi biaya pendidikan (oleh seseorang), tetapi tetap tinggal pada orang tuanya"
"anak baju",noun,"baju dalam"
"anak bala",noun,"anak yang selalu mengganggu anak orang lain"
"anak balam",noun,"sepasang (seorang laki-laki dan perempuan); sejoli"
"anak bangsa",noun,"anak negeri"
"anak bangsawan",noun,"anak keturunan keluarga ningrat (bangsawan, raja)"
"anak bangsawan",noun,"anak komidi"
"anak bapak",noun,"anak yang terlalu disayangi oleh bapaknya sehingga tidak sempat bergaul dengan anak-anak yang lain"
"anak batu",noun,"batu yang berbentuk silinder (gilik) untuk melumatkan lada (cabai, rempah-rempah, dsb)"
"anak batu tulis",noun,"alat tulis untuk menulis pada batu tulis"
"anak bawang",noun,"anak kecil yang masih belum mengerti apa-apa"
"anak bawang",noun,"peserta bermain yang tidak masuk hitungan (hanya sebagai penggenap atau ikut-ikutan saja)"
"anak bedil",noun,peluru
"anak berbakat",noun,"anak (terutama yang masih berada dalam usia sekolah) yang diperhitungkan memiliki bakat dan kemampuan yang istimewa"
"anak berkundang",noun,"anak yang sangat disayangi atau dimanjakan; kundangan"
"anak bersagar",noun,"anak yang selalu sakit-sakitan atau yang saudara-saudaranya selalu meninggal"
"anak bersagar",noun,"anak yang pada kuku tangannya terdapat garis hitam seperti sagar"
"anak bilik",noun,"ruang kecil yang ditambahkan pada kamar"
"anak bini",noun,"anak dan istri; keluarga"
"anak buah",noun,"anggota kelompok (regu pasukan) yang berada di bawah seorang pemimpin"
"anak bukit",noun,"bukit kecil"
"anak buncit",noun,"anak bungsu; anak yang terakhir; anak yang termuda dari satu keluarga"
"anak bungsu",noun,"anak buncit"
"anak busur",noun,"anak panah"
"anak buyung",noun,"perempuan bunting (untuk memperolok-olokkan)"
"anak buyung",noun,muncikari
"anak cabang",noun,"bagian dsb yang berada di bawah cabang (tentang susunan organisasi)"
"anak cabang",noun,"bagian dsb yang lebih kecil dari cabang; ranting"
"anak cobek",noun,"penggiling pada cobek"
"anak cucu",noun,"anak dan cucu"
"anak cucu",noun,keturunan
"anak dabus",noun,"orang yang ikut serta bermain dabus; pemain dabus"
"anak dacin",noun,"batu (besi) pada timbangan dengan ketentuan berat tertentu"
"anak dagang",noun,"orang perantauan; anak rantau"
"anak dapat",noun,"anak yang didapat di jalan dsb"
"anak dara",noun,"anak perempuan yang sudah mencapai usia remaja dan belum kawin"
"anak dara",noun,"pengantin perempuan"
"anak Daud",noun,"gelar untuk Mesias yang dinantikan yang berasal dari keturunan raja Daud"
"anak daun",noun,"helaian daun atau tiap-tiap helaian daun dari daun majemuk"
"anak dayung",noun,"orang yang mendayung; pendayung"
"anak didik",noun,"anak yang berada dalam pembinaan (asuhan) seseorang"
"anak didik",noun,"murid; siswa"
"anak gadis",noun,"anak perempuan yang sudah menginjak usia remaja"
"anak gahara",noun,"anak raja dari permaisuri"
"anak gedongan",noun,"anak orang kaya (yang rumahnya gedung)"
"anak geladak",noun,"anak haram"
"anak genta",noun,"bagian genta yang berfungsi sebagai pemukul genta"
"anak ginjal",noun,"bagian ginjal yang melekat di atas ginjal; kelenjar adrenal"
"anak gobek",noun,"pelocok kapur sirih dalam gobek; alu kecil penumbuk kapur sirih dalam gobek"
"anak gugur",noun,"bayi yang lahir (mati) sebelum genap bulannya"
"anak haram",noun,"anak yang lahir dari hasil hubungan di luar ikatan pernikahan; anak jadah"
"anak hitam",noun,"anak yang kedelapan"
"anak ibu",noun,"anak yang terlalu disayangi oleh ibu sehingga tidak sempat bergaul dengan anak-anak yang lain"
"anak jadah",noun,"anak haram"
"anak jari",noun,"jari kelingking"
"anak jari",noun,"sebatang jari"
"anak jawi",noun,"anak laki-laki yang disayangi"
"anak jentera",noun,"jari-jari jentera"
"anak judul",noun,"tambahan pada judul buku dsb (biasanya berupa kata-kata penjelas terhadap judul)"
"anak kalimat",noun,"bagian kalimat (klausa) yang tidak dapat berdiri sendiri sebagai kalimat lengkap; klausa terikat"
"anak kandung",noun,"anak yang lahir dari kandungan sendiri; anak sendiri (bukan anak tiri atau anak angkat)"
"anak kapal",noun,"awak atau pegawai yang bertugas di kapal"
"anak kembar",noun,"anak (dua, tiga, atau lebih) yang lahir dari satu kandungan pada satu kehamilan"
"anak kemenakan",noun,"anak dari saudara (dilihat dari dirinya)"
"anak kencing",noun,"anak haram"
"anak keti",noun,"bola kecil terbuat dari kayu yang dipakai dalam permainan"
"anak kolong",noun,"anak serdadu (yang lahir dan dibesarkan di tangsi pada zaman Hindia Belanda)"
"anak kolong",noun,"anak tentara"
"anak komidi",noun,"pemain komidi panggung, tonil, sandiwara; anak bangsawan"
"anak kuar",noun,"anak haram"
"anak kukut",noun,"anak angkat yang tidak berhak menerima harta pusaka"
"anak kunci",noun,"alat untuk membuka kunci; sosi"
"anak lidah",noun,"anak tekak"
"anak limpa",noun,"kelenjar yang mengeluarkan empedu"
"anak liplap",noun,"anak yang orang tuanya berlainan bangsa"
"anak lombong",noun,"pekerja di tambang"
"anak luar nikah",noun,"anak yang dilahirkan oleh seorang wanita di luar perkawinan yang dianggap sah menurut adat atau hukum yang berlaku"
"anak luar nikah",noun,"anak haram"
"anak lumpang",noun,"anak gobek"
"anak mampu didik",noun,"anak yang tingkat kemampuan intelegensinya sekitar 70&#151;80, memungkinkan untuk dididik sampai kelas enam sekolah dasar"
"anak mampu latih",noun,"anak yang kemampuan intelegensinya sekitar 25&#151;50, hanya mungkin diberi latihan untuk menguasai keterampilan tertentu dan untuk mengurus dirinya sendiri"
"anak mampu rawat",noun,"anak yang tingkat kemampuan intelegensinya paling tinggi 25, membutuhkan perawatan orang lain sepanjang hayatnya"
"anak manusia",noun,"Yesus (ungkapan ini merujuk pada tokoh penyelamat di zaman yang akan datang)"
"anak mas",noun,"anak emas"
"anak mata",noun,"bulatan kecil di tengah-tengah bola mata"
"anak meja",noun,"peti-peti kecil di meja (merupakan perlengkapan meja); laci"
"anak mentimun",noun,"anak angkat yang dijadikan istri"
"anak muda",noun,"orang yang masih muda; pemuda"
"anak muda",noun,"anak keenam"
"anak murid",noun,"anak sekolah; siswa; anak didik"
"anak nakal",noun,"anak yang karena sebab tertentu mengalami hambatan dalam perkembangan pribadi, ketakseimbangan mental, sosial, atau pendidikan sehingga muncul tingkah laku yang menyimpang, misal mencopet"
"anak negara",noun,"anak yang diputuskan oleh pengadilan untuk diasuh oleh negara"
"anak negeri",noun,"penduduk suatu negeri (daerah atau wilayah)"
"anak obat",noun,"anak (orang) sakit yang sedang dalam perawatan dokter; pasien"
"anak orang",noun,"anak orang lain (bukan anak saudara)"
"anak panah",noun,"senjata tajam yang berupa barang panjang, runcing pada ujungnya dan diberi bulu atau barang lain yang serupa pada pangkalnya yang berfungsi sebagai penjaga keseimbangan, dilepaskan dengan menggunakan busur"
"anak pandak",noun,"anak yang kelima"
"anak panggung",noun,"orang yang mencari nafkah dengan bermain dalam pertunjukan pentas (sandiwara, tonil, komidi, dsb)"
"anak panjang",noun,"anak yang keempat"
"anak pelor",noun,"peluru (isi bedil)"
"anak penak",noun,"anak cucu; keturunan; anak pinak"
"anak perahu",noun,"anak kapal"
"anak perusahaan",noun,"perusahaan yang dikuasai oleh pihak lain, baik secara langsung maupun tidak langsung, melalui satu atau lebih badan atau perusahaan lainnya"
"anak piara",noun,"anak orang lain yang dipiara"
"anak piatu",noun,"anak yang ibunya sudah meninggal; sudah tidak beribu lagi; anak yatim (di beberapa daerah anak piatu adalah anak yang tidak beribu lagi)"
"anak pinak",noun,"tumbuhan memanjat, Ventilago oblongifolia"
"anak pinak",noun,"anak cucu; keturunan"
"anak pisang",noun,"anak mamak (menurut keturunan laki-laki)"
"anak prasekolah",noun,"anak yang berumur 4&#151;5 tahun; murid taman kanak-kanak; anak yang berumur sebelum umur masuk sekolah dasar"
"anak pungut",noun,"anak angkat"
"anak putih",noun,"anak yang ketujuh"
"anak ragil",noun,"anak bungsu"
"anak rambut",noun,"rambut halus yang tumbuh di pelipis"
"anak rantau",noun,"orang yang mencari penghidupan di negara atau daerah lain"
"anak ronggeng",noun,"penari dalam pertunjukan ronggeng"
"anak saku",noun,"kantong kecil pada baju"
"anak sanak",noun,"anak kemenakan"
"anak sandiwara",noun,"anak panggung"
"anak sapihan",noun,"anak yang (baru) disapih"
"anak sasian",noun,"murid; pelajar; orang yang berguru"
"anak sekolah",noun,"anak (orang) yang masih menuntut ilmu melalui pendidikan sekolah; murid; siswa"
"anak sipil",noun,"anak yang diserahkan oleh orang tuanya kepada negara"
"anak sukar",noun,"anak yang bertingkah laku menyimpang dari norma-norma sosial (tidak dapat diatasi dengan cara-cara biasa)"
"anak sulung",noun,"anak yang pertama (yang tertua)"
"anak sumbang",noun,"anak yang lahir dari seorang ibu yang dilarang kawin menurut undang-undang dengan lelaki yang menghamilinya"
"anak sumbang",noun,"anak haram (terutama akibat dari perzinaan sesama antara sanak saudara dekat)"
"anak sundal",noun,"kata makian kasar"
"anak sundal",noun,"anak haram"
"anak sunti",noun,"anak perempuan yang mulai jadi gadis (perawan kecil)"
"anak susuan",noun,"anak orang lain yang disusui"
"anak susuan",noun,"anak yang masih menyusu"
"anak tangan",noun,"jari tangan"
"anak tangga",noun,"bagian tangga tempat berpijak"
"anak tari",noun,penari
"anak taruhan",noun,"anak yang sangat dicintai"
"anak tekak",noun,"daging kecil di ujung kerongkongan; anak lidah; uvula"
"anak timbangan",noun,"perangkat timbangan berupa batu timbangan dari logam dengan berbagai ukuran berat (100 g, 500 g, 1 kg, dst) sebagai pengukur berat barang-barang, bahan makanan kering, sayuran, buah-buahan, dsb"
"anak tolakan",noun,"anak yang tidak diterima orang tua (orang tua bersikap tidak memberi kasih sayang, perhatian, dsb)"
"anak tonil",noun,"anak komidi"
"anak torak",noun,"perkakas tenun pemintal benang"
"anak tuna",noun,"anak yang berkelainan; anak cacat"
"anak tunalaras",noun,"anak yang sangat nakal"
"anak tunggal",noun,"anak yang hanya satu-satunya"
"anak uang",noun,"bunga uang; rente"
"anak wayang",noun,"orang yang menjadi pelaku (pemain) pada pertunjukan wayang orang atau ketoprak"
"anak yatim",noun,"anak yang sudah tidak berbapak lagi"
"anak zadah",noun,"anak haram; anak jadah"
"analisis ayak",noun,"pemilahan zat padat menurut ukurannya dengan menggunakan pengayak"
"analisis bahasa",noun,"penelaahan yang dilakukan oleh peneliti atau pakar bahasa dalam menggarap data kebahasaan yang diperoleh dari penelitian lapangan atau dari pengumpulan teks (penelitian kepustakaan)"
"analisis data",noun,"penelaahan dan penguraian data hingga menghasilkan simpulan"
"analisis deduktif",noun,"penetapan kebenaran suatu pernyataan dengan menunjukkan bahwa pernyataan itu telah tercakup dalam pernyataan lain yang telah ditetapkan kebenarannya"
"analisis endapan",noun,"pemisahan partikel yang tergantung pada tingkat pengendapan dalam cairan"
"analisis induktif",noun,"penetapan kebenaran suatu hal atau perumusan umum mengenai suatu gejala dengan cara mempelajari kasus atas kejadian khusus yang berhubungan dengan hal itu"
"analisis jabatan",noun,"penyelidikan tentang kemampuan dan kepribadian seseorang dalam hubungan dengan pekerjaan yang menjadi tanggung jawabnya"
"analisis kalorimetri",noun,"analisis kuantitatif benda dengan membandingkan kekuatan warna yang dihasilkan oleh zat dengan warna baku"
"analisis kekebalan",noun,"analisis yang menggunakan reaksi antigen-antibodi untuk menerangkan zat-zat biokimia"
"analisis keramik",noun,"metode untuk mengetahui teknik pembuatan benda kuno dari tanah liat"
"analisis kimia",noun,"penentuan komponen kimia suatu senyawa yang dilakukan dengan pemisahan dan pengukuran atas contoh yang mewakili"
"analisis komponen",noun,"metode menguraikan sebuah unsur atas bagian-bagian yang lebih kecil"
"analisis komponen makna",noun,"metode penyelidikan makna dengan memecahkan leksem atas komponen"
"analisis lambung",noun,"pemeriksaan yang dilakukan terhadap isi lambung makhluk hidup dengan tujuan mengetahui pola makannya"
"analisis mekanis",noun,"penguraian tanah menjadi kelompok partikel dari berbagai ukuran dengan bantuan alat-alat mekanis"
"analisis pasar",noun,"telaah tentang potensi, lokasi, sifat, dan ciri pasar"
"analisis pekerjaan",noun,"penelaahan secara mendalam dan sistematis terhadap suatu pekerjaan, yang dapat memberikan keterangan tentang tugas, tanggung jawab, dan sifat pekerjaan, untuk dapat melaksanakan pekerjaan tersebut dengan baik"
"analisis pendarfluor",noun,"metode analisis yang didasarkan atas penyinaran dengan cahaya lembayung"
"analisis sistem",noun,"pengamatan mengenai suatu kegiatan, metode, prosedur, atau teknik untuk menentukan manfaat kegiatan tersebut dan cara terbaik untuk memperolehnya"
"analisis sistem",noun,"prosedur atau proses sistematis yang memungkinkan pengombinasian pertimbangan para pakar dari berbagai bidang ilmu sehingga diperoleh hasil yang sempurna dari kegunaan tiap disiplin"
"analisis spektroskop",noun,"penelaahan susunan zat dengan menggunakan spektroskop (jumlah kecil unsur dapat didekati melalui garis spektrum khas unsur)"
"analisis wacana",noun,"metode menguraikan wacana atas bagian-bagian yang berfungsi"
"anatomi deskriptif",noun,"ilmu mengenai struktur organ tubuh normal"
"anatomi perbandingan",noun,"ilmu yang membandingkan struktur pada berbagai spesies yang berbeda"
"ancang ekstrinsik",other,"pendekatan terhadap karya sastra dengan menggunakan ilmu bantu bukan sastra, seperti sejarah, sosiologi, dan psikologi"
"ancang intrinsik",other,"pendekatan terhadap karya sastra yang bertolak dari unsur-unsur dalam karya sastra itu sendiri, yang objek kajiannya semata-mata unsur dalam karya sastra itu"
"ancang, ekstrinsik",other,"pendekatan terhadap karya sastra dengan menggunakan ilmu bantu bukan sastra, seperti sejarah, sosiologi, dan psikologi"
"ancang, intrinsik",other,"pendekatan terhadap karya sastra yang bertolak dari unsur-unsur dalam karya sastra itu sendiri, yang objek kajiannya semata-mata unsur dalam karya sastra itu"
"anemia gizi",noun,"anemia yang disebabkan oleh kekurangan zat gizi tertentu"
"anggaran belanja",noun,"perhitungan banyaknya uang yang akan masuk dan yang akan dikeluarkan"
"anggaran belanja berimbang",noun,"anggaran belanja dengan penerimaan dalam periode tertentu sama atau melampaui pengeluaran pada periode yang sama"
"anggaran dasar",noun,"peraturan penting yang menjadi dasar peraturan yang lain-lain (bagi perusahaan, perkumpulan, dsb)"
"anggaran induk",noun,"perpaduan anggaran yang meliputi berbagai bidang, misal bidang penjualan, bidang produksi, bidang operasi, dan bidang nonoperasi"
"anggaran keluarga",noun,"pengeluaran anggota keluarga yang sudah diperhitungkan sehingga memudahkan untuk membuat perencanaan pengeluaran rumah tangga"
"anggaran pendapatan",noun,"perhitungan banyaknya uang yang akan diterima"
"anggaran rumah tangga",noun,"peraturan pelaksanaan anggaran dasar (bagi perusahaan, perkumpulan, dsb)"
"anggaran sulapan",noun,"anggaran yang disulap (yang mencantumkan daftar pengeluaran yang jauh lebih besar daripada pengeluaran yang sebenarnya)"
"anggota biasa",noun,"anggota perkumpulan yang bukan pengurus"
"anggota delegasi",noun,"anggota yang ditunjuk dan diutus oleh suatu perkumpulan (negara dsb) dalam suatu perundingan (musyawarah)"
"anggota gerak",noun,"kaki dan tangan"
"anggota honorer",noun,"anggota kehormatan"
"anggota kalimat",noun,"kata atau kelompok kata yang menjadi bagian kalimat"
"anggota kehormatan",noun,"anggota yang diangkat oleh perkumpulan sebagai tanda kehormatan karena besar jasanya dsb"
"anggota penderma",noun,"orang yang secara tetap memberi derma kepada perkumpulan"
"anggota pengurus",noun,"anggota yang dipilih untuk mengelola perkumpulan"
"anggota tentara",noun,"orang yang masuk dalam angkatan bersenjata"
"anggota tersiar",noun,"anggota perserikatan sekerja dsb yang langsung di bawah pengurus besar (bukan anggota cabang)"
"angin alobar",noun,"komponen angin yang secara teoretis dinyatakan sebagai akibat perubahan tekanan terhadap waktu yang tidak seragam"
"angin anabatik",noun,"angin lokal yang bertiup mendaki lereng lembah dan pegunungan pada siang hari; angin lembah"
"angin atas",noun,"angin dalam atmosfer yang tidak dekat dengan permukaan bumi"
"angin badai",noun,"angin yang datang dari satu jurusan hingga beberapa waktu lamanya"
"angin barat",noun,"gerakan udara yang bertiup dari arah barat secara tetap dan kuat"
"angin barat khatulistiwa",noun,"angin barat yang sering terdapat di daerah palung khatulistiwa"
"angin beralih",noun,"angin yang berganti arah"
"angin besar",noun,"angin ribut"
"angin bohorok",noun,"angin kencang tipe fohn yang panas dan kering, terdapat di dataran Deli, Sumatra Utara, yang dapat menimbulkan kerusakan pada tumbuh-tumbuhan, khususnya tembakau"
"angin buritan",noun,"gerakan udara yang bertiup dari belakang, sejalan dengan arah perahu"
"angin buritan ekuivalen",noun,"angin membujur ekuivalen yang datang dari arah belakang tentang pesawat terbang dsb"
"angin darat",noun,"angin yang bertiup dari darat ke laut yang terjadi pada malam hari"
"angin duduk",noun,"penyakit masuk angin yang tetap"
"angin ekor duyung",noun,"angin yang bertiup dari berbagai arah"
"angin fohn",noun,"angin yang bertiup kencang sepanjang lereng gunung atau pegunungan dengan suhu tinggi dan kelembapan rendah"
